"CustomerID","PersonID","StoreID","TerritoryID","AccountNumber","rowguid","ModifiedDate"
"10","","928","6","","{CDB6698D-2FF1-4FBA-8F22-60AD1D11DABD}","2014-09-12 11:15:07.263000000"
"11","","1022","6","","{750F3495-59C4-48A0-80E1-E37EC60E77D9}","2014-09-12 11:15:07.263000000"
"12","","622","6","","{947BCAF1-1F32-44F3-B9C3-0011F95FBE54}","2014-09-12 11:15:07.263000000"
"28","","490","6","","{9B8A04A4-D909-4F49-B1C5-3DE317D69B2A}","2014-09-12 11:15:07.263000000"
"29","","1010","6","","{ECA7C8FA-490B-4B97-9C32-043C90F789E8}","2014-09-12 11:15:07.263000000"
"30","","1340","6","","{2B15DFB1-831E-49E7-B337-395798B129E7}","2014-09-12 11:15:07.263000000"
"46","","1288","6","","{21849ECF-88C2-4574-89D5-397B84DF1D0F}","2014-09-12 11:15:07.263000000"
"47","","998","6","","{0D9ABE85-D952-432D-831A-8BEB7F4E49D0}","2014-09-12 11:15:07.263000000"
"48","","1352","6","","{E656589A-198F-454F-B02F-9CE324457BDF}","2014-09-12 11:15:07.263000000"
"64","","1276","6","","{E6B6F92D-4AC6-4BC7-BF6B-2F3C67498DE7}","2014-09-12 11:15:07.263000000"
"65","","986","6","","{7E082443-8AF6-4BB6-A0F5-1586271D1F2C}","2014-09-12 11:15:07.263000000"
"66","","782","6","","{E91E0048-9A25-489B-96C1-D726DA68FB7C}","2014-09-12 11:15:07.263000000"
"82","","1264","6","","{92618ECE-2254-4852-B3B3-46ED2E0E3E1A}","2014-09-12 11:15:07.263000000"
"83","","552","6","","{8E01F170-64D3-4B74-82E1-D1691AE9F37C}","2014-09-12 11:15:07.263000000"
"84","","794","6","","{45A614CE-3137-4A12-8296-24048C18F320}","2014-09-12 11:15:07.263000000"
"100","","1252","6","","{E789F6DD-3159-4DDC-81A8-8571C571656E}","2014-09-12 11:15:07.263000000"
"101","","732","6","","{67AD4F37-2467-4438-A749-D947BEEC3A92}","2014-09-12 11:15:07.263000000"
"102","","1312","6","","{959CF74B-1004-43F5-9AB7-4CDD482C847D}","2014-09-12 11:15:07.263000000"
"118","","1322","6","","{5FEAFBD2-4A43-4641-8E94-B3059B2A882E}","2014-09-12 11:15:07.263000000"
"119","","1882","6","","{D13245EF-8267-4CB4-87C9-C23155D33E93}","2014-09-12 11:15:07.263000000"
"120","","720","6","","{25863C18-4C9A-4BC9-BE0D-95F4CF67BF7D}","2014-09-12 11:15:07.263000000"
"136","","980","6","","{84CD4767-F142-4D9D-9033-AD3ADE34BF74}","2014-09-12 11:15:07.263000000"
"137","","418","6","","{D6A1AEE7-25EF-4417-AB10-65BC21661864}","2014-09-12 11:15:07.263000000"
"138","","708","6","","{91B9EF4B-2FA8-4936-AC71-1FA1B3624D12}","2014-09-12 11:15:07.263000000"
"154","","626","6","","{4F60F75E-B20A-4056-874C-B7F3BD33BF3F}","2014-09-12 11:15:07.263000000"
"155","","648","6","","{3B56CD66-5DDF-430C-AB41-3FF6A1836868}","2014-09-12 11:15:07.263000000"
"156","","512","6","","{CFFFAAFB-98DC-4392-84F9-FB3229F35265}","2014-09-12 11:15:07.263000000"
"172","","806","6","","{324C671D-DD10-4EE2-857A-767917ACC2A3}","2014-09-12 11:15:07.263000000"
"173","","812","6","","{FDC12E98-898B-4C22-972F-F0EBFBFCB7B0}","2014-09-12 11:15:07.263000000"
"174","","500","6","","{9C4DDEFA-AABD-4A51-AB90-998985FB7D2F}","2014-09-12 11:15:07.263000000"
"190","","1298","6","","{91154406-0118-4A11-BB1B-366EDFB5C97A}","2014-09-12 11:15:07.263000000"
"191","","1192","6","","{A2F63E12-1C66-41C2-AAC0-57D87F1861D9}","2014-09-12 11:15:07.263000000"
"192","","678","6","","{84401968-8977-4380-9B4E-D5149C8126C0}","2014-09-12 11:15:07.263000000"
