"CustomerID","PersonID","StoreID","TerritoryID","AccountNumber","rowguid","ModifiedDate"
"16","","432","10","","{C9381589-D31C-4EFE-8978-8D3449EB1F0F}","2014-09-12 11:15:07.263000000"
"34","","940","10","","{9EDDA794-7862-4FF4-B8E2-528847CAB2BD}","2014-09-12 11:15:07.263000000"
"52","","1284","10","","{8FB34B30-B19D-4AEC-B02E-F1BE942800E5}","2014-09-12 11:15:07.263000000"
"70","","1272","10","","{89E10B04-064E-4313-8203-91FA98A01B11}","2014-09-12 11:15:07.263000000"
"88","","1260","10","","{11FEDA31-15B6-4F08-9357-355371D4D928}","2014-09-12 11:15:07.263000000"
"106","","1892","10","","{AAFBF7D5-8759-4962-9DEB-77C6E22875F4}","2014-09-12 11:15:07.263000000"
"124","","1326","10","","{2F614C31-ABAE-42D0-820B-193F0DDC811E}","2014-09-12 11:15:07.263000000"
"142","","984","10","","{B821D13F-E9DB-4A3B-87D0-7E867A161575}","2014-09-12 11:15:07.263000000"
"160","","658","10","","{B42D510D-3AE4-4911-88CF-8D90D6BD0922}","2014-09-12 11:15:07.263000000"
"178","","810","10","","{05B8FB77-FC67-4279-AEBD-4162D21B9A11}","2014-09-12 11:15:07.263000000"
"196","","1302","10","","{5F0EB2D3-4691-4F71-8E9B-A3EACFA4A1D5}","2014-09-12 11:15:07.263000000"
