"CustomerID","PersonID","StoreID","TerritoryID","AccountNumber","rowguid","ModifiedDate"
"1","","934","1","","{3F5AE95E-B87D-4AED-95B4-C3797AFCB74F}","2014-09-12 11:15:07.263000000"
"2","","1028","1","","{E552F657-A9AF-4A7D-A645-C429D6E02491}","2014-09-12 11:15:07.263000000"
"7","","930","1","","{03E9273E-B193-448E-9823-FE0C44AEED78}","2014-09-12 11:15:07.263000000"
"19","","430","1","","{69AE5D43-31BE-4B76-BFBB-5A23C4788BBC}","2014-09-12 11:15:07.263000000"
"20","","1016","1","","{E010C10A-F1C3-4BBA-81CA-A7E083350400}","2014-09-12 11:15:07.263000000"
"37","","938","1","","{C6EBB29A-CC67-459C-90E3-339E0F912906}","2014-09-12 11:15:07.263000000"
"38","","1004","1","","{E5EDA3F3-4EF1-4806-BD36-E61F3CB2E044}","2014-09-12 11:15:07.263000000"
"43","","1290","1","","{9E449D3E-5D79-4F65-A4F1-10DD3B0E0766}","2014-09-12 11:15:07.263000000"
"55","","1282","1","","{F5D3997B-AD06-46A0-94AF-A4460F4BE471}","2014-09-12 11:15:07.263000000"
"56","","992","1","","{570B1682-9BB1-4359-984D-8F728E3D6973}","2014-09-12 11:15:07.263000000"
"73","","1270","1","","{9D5C135E-BD60-46E0-B371-843391637827}","2014-09-12 11:15:07.263000000"
"74","","528","1","","{73485E57-076D-4B10-BB48-6043DD873582}","2014-09-12 11:15:07.263000000"
"91","","1258","1","","{9F314FC3-9644-4412-A90A-5483F75F665B}","2014-09-12 11:15:07.263000000"
"92","","632","1","","{672412C3-5D5D-488B-B176-E3DAFAD05D70}","2014-09-12 11:15:07.263000000"
"109","","1890","1","","{7585790B-6034-4520-A383-9FA1E8B3E76E}","2014-09-12 11:15:07.263000000"
"110","","1888","1","","{82C2F3F0-63B8-46CC-AEDC-3A856956EF04}","2014-09-12 11:15:07.263000000"
"115","","1320","1","","{080F7047-8396-4CEC-AB43-56CF41DE4E00}","2014-09-12 11:15:07.263000000"
"127","","1328","1","","{EF55103F-ACC7-4BFD-89B1-20A04845E706}","2014-09-12 11:15:07.263000000"
"128","","1876","1","","{03F73E74-8DE5-421E-B5AF-04B259268DD6}","2014-09-12 11:15:07.263000000"
"145","","522","1","","{FEC5609D-042B-4480-B1BA-55F2D4107327}","2014-09-12 11:15:07.263000000"
"146","","518","1","","{5475E9DD-98CA-4989-B7A2-3FC929BEEA12}","2014-09-12 11:15:07.263000000"
"163","","660","1","","{989F9F3A-7CB8-4083-8CDA-291C682BE73C}","2014-09-12 11:15:07.263000000"
"164","","818","1","","{5A323ACA-74A2-4CA0-AA3B-E1AE299AAD08}","2014-09-12 11:15:07.263000000"
"169","","804","1","","{2D6BBC35-BC19-4CB4-A61B-46899D3A4237}","2014-09-12 11:15:07.263000000"
"181","","1292","1","","{3D3D4CD0-7F5D-4BD9-A589-08881095BC5A}","2014-09-12 11:15:07.263000000"
"182","","442","1","","{D3DA2FF4-51C0-4FCB-A936-1B910458D752}","2014-09-12 11:15:07.263000000"
"199","","1304","1","","{F0CD52D1-B838-451E-B015-5414AB7D9154}","2014-09-12 11:15:07.263000000"
